"","station_nbr","date","tmax","tmin","tavg","dewpoint","wetbulb","heat","cool","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed","eventdist"
"4349",1,"2012-08-13",87,67,77,62,68,0,12,NA,0,29,29,4,25,5,0
"4369",1,"2012-08-14",86,65,76,62,67,0,11,NA,0,29,29,3,24,3,0
"4389",1,"2012-08-15",86,70,78,66,69,0,13,NA,0,29,29,2,22,2,0
"4409",1,"2012-08-16",85,67,76,63,67,0,11,NA,0,29,29,3,32,4,0
"4429",1,"2012-08-17",89,62,76,63,68,0,11,NA,0,29,29,6,22,6,0
"4449",1,"2012-08-18",77,63,70,61,65,0,5,NA,0,29,29,1,23,2,0
"4469",1,"2012-08-19",77,56,67,54,60,0,2,NA,0,29,29,1,6,2,0
"4489",1,"2012-08-20",81,58,70,58,63,0,5,NA,0,29,29,0,17,2,0
"4509",1,"2012-08-21",84,64,74,57,63,0,9,NA,0,29,29,3,25,4,0
"4529",1,"2012-08-22",85,58,72,55,62,0,7,NA,0,29,30,1,21,3,0
"4549",1,"2012-08-23",88,63,76,60,65,0,11,NA,0,29,30,2,23,4,0
"4569",1,"2012-08-24",85,63,74,62,66,0,9,NA,0,30,30,1,10,3,0
"4589",1,"2012-08-25",83,63,73,61,66,0,8,NA,0,30,30,2,11,3,0
"4609",1,"2012-08-26",84,61,73,58,64,0,8,NA,0,30,30,1,17,2,0
"4629",1,"2012-08-27",88,61,75,61,66,0,10,NA,0,29,30,5,21,6,0
"4649",1,"2012-08-28",87,67,77,64,68,0,12,NA,0,29,29,2,28,5,0
"4669",1,"2012-08-29",77,58,68,48,57,0,3,NA,0,29,29,2,30,4,0
"4689",1,"2012-08-30",84,54,69,51,60,0,4,NA,0,29,29,7,23,7,0
"4709",1,"2012-08-31",92,62,77,55,64,0,12,NA,0,29,29,9,23,9,0
"4729",1,"2012-09-01",78,60,69,57,63,0,4,NA,0,29,30,3,7,4,0
"4749",1,"2012-09-02",78,57,68,57,61,0,3,NA,0,29,30,2,5,3,0
"4769",1,"2012-09-03",80,60,70,57,62,0,5,NA,0,30,30,2,9,3,0
"4789",1,"2012-09-04",74,63,69,64,65,0,4,NA,0,29,30,0,14,2,0
"4809",1,"2012-09-05",82,69,76,68,70,0,11,NA,0,29,29,3,23,7,0
"4829",1,"2012-09-06",82,66,74,64,67,0,9,NA,0,29,29,2,23,3,0
"4849",1,"2012-09-07",87,66,77,65,69,0,12,NA,0,29,29,2,21,3,0
"4869",1,"2012-09-08",85,65,75,67,70,0,10,NA,0,29,29,7,20,9,0
"4889",1,"2012-09-09",75,56,66,55,59,0,1,NA,0,29,29,2,30,4,0
"4909",1,"2012-09-10",68,53,61,46,53,4,0,NA,0,29,29,6,33,7,0
"4929",1,"2012-09-11",74,49,62,43,52,3,0,NA,0,30,30,1,26,3,0
"4949",1,"2012-09-12",80,49,65,49,56,0,0,NA,0,30,30,1,20,2,0
"4969",1,"2012-09-13",85,57,71,57,62,0,6,NA,0,30,30,5,21,5,0
"4989",1,"2012-09-14",85,60,73,59,64,0,8,NA,0,30,30,5,21,5,0
"5009",1,"2012-09-15",74,51,63,50,57,2,0,NA,0,29,30,4,30,7,0
"5029",1,"2012-09-16",71,48,60,41,50,5,0,NA,0,29,30,3,30,4,0
"5049",1,"2012-09-17",77,44,61,47,53,4,0,NA,0,29,30,1,20,2,0
"5069",1,"2012-09-18",77,55,66,60,63,0,1,NA,0,29,29,5,18,7,0
"5089",1,"2012-09-19",72,48,60,49,56,5,0,NA,0,29,29,5,30,7,0
"5109",1,"2012-09-20",66,43,55,42,48,10,0,NA,0,30,30,3,6,4,0
"5129",1,"2012-09-21",66,45,56,49,52,9,0,NA,0,29,30,2,5,3,0
"5149",1,"2012-09-22",72,55,64,56,58,1,0,NA,0,29,29,0,24,3,0
"5169",1,"2012-09-23",71,49,60,48,55,5,0,NA,0,29,29,6,28,7,0
"5189",1,"2012-09-24",68,43,56,40,48,9,0,NA,0,29,30,3,25,4,0
"5209",1,"2012-09-25",74,44,59,44,52,6,0,NA,0,29,30,8,21,8,0
"5229",1,"2012-09-26",73,59,66,58,62,0,1,NA,0,29,30,7,21,7,0
"5249",1,"2012-09-27",69,48,59,48,54,6,0,NA,0,29,30,3,34,5,0
"5269",1,"2012-09-28",57,46,52,50,51,13,0,NA,0,30,30,4,4,5,0
"5289",1,"2012-09-29",57,52,55,51,53,10,0,NA,0,29,29,5,2,6,0
"5309",1,"2012-09-30",60,52,56,52,54,9,0,NA,0,29,29,1,26,4,0
"5329",1,"2012-10-01",66,50,58,50,53,7,0,NA,0,29,29,9,23,9,0
"5349",1,"2012-10-02",72,55,64,55,58,1,0,NA,0,29,30,2,22,2,0
"5369",1,"2012-10-03",65,60,63,59,60,2,0,NA,0,29,30,3,6,3,0
"5389",1,"2012-10-04",63,59,61,58,59,4,0,NA,0,29,30,2,4,3,0
"5409",1,"2012-10-05",77,59,68,57,61,0,3,NA,0,29,29,2,23,3,0
"5429",1,"2012-10-06",79,51,65,54,59,0,0,NA,0,29,29,6,23,8,0
"5449",1,"2012-10-07",58,44,51,41,47,14,0,NA,0,29,30,2,23,3,0
"5469",1,"2012-10-08",57,42,50,42,47,15,0,NA,0,30,30,1,32,2,0
"5489",1,"2012-10-09",59,47,53,45,49,12,0,NA,0,30,30,4,6,5,0
"5509",1,"2012-10-10",61,50,56,51,53,9,0,NA,0,29,29,0,4,6,0
"5529",1,"2012-10-11",59,43,51,35,44,14,0,NA,0,29,30,9,26,10,0
"5549",1,"2012-10-12",54,36,45,31,40,20,0,NA,0,29,30,6,30,8,0
"5569",1,"2012-10-13",54,29,42,25,36,23,0,NA,0,30,30,4,26,5,0
"5589",1,"2012-10-14",64,45,55,48,51,10,0,NA,0,29,30,5,20,5,0
"5609",1,"2012-10-15",78,59,69,58,61,0,4,NA,0,29,29,7,20,8,0
"5629",1,"2012-10-16",61,37,49,39,46,16,0,NA,0,29,29,7,29,8,0
"5649",1,"2012-10-17",63,35,49,35,42,16,0,NA,0,29,29,0,27,1,0
"5669",1,"2012-10-18",66,40,53,43,48,12,0,NA,0,29,30,1,10,2,0
"5689",1,"2012-10-19",67,48,58,56,58,7,0,NA,0,29,29,6,11,7,0
"5709",1,"2012-10-20",76,55,66,56,60,0,1,NA,0,29,29,4,22,5,0
"5729",1,"2012-10-21",65,46,56,40,48,9,0,NA,0,29,29,7,25,8,0
"5749",1,"2012-10-22",66,46,56,40,48,9,0,NA,0,29,29,6,28,7,0
"5769",1,"2012-10-23",64,45,55,39,47,10,0,NA,0,29,30,3,32,4,0
"5789",1,"2012-10-24",60,39,50,36,43,15,0,NA,0,30,30,0,17,2,0
"5809",1,"2012-10-25",64,38,51,41,46,14,0,NA,0,30,30,2,7,2,0
"5829",1,"2012-10-26",68,43,56,46,50,9,0,NA,0,30,30,1,21,1,0
"5849",1,"2012-10-27",67,45,56,48,51,9,0,NA,0,29,30,2,6,3,0
"5869",1,"2012-10-28",56,49,53,48,50,12,0,NA,0,29,29,11,4,11,0
"5889",1,"2012-10-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5909",1,"2012-10-30",61,52,57,NA,NA,8,0,NA,0,29,NA,NA,NA,14,0
"5929",1,"2012-10-31",58,49,54,47,51,11,0,NA,0,29,29,3,19,5,0
"5949",1,"2012-11-01",56,45,NA,39,45,NA,NA,NA,0,29,29,5,23,6,0
"5969",1,"2012-11-02",53,44,49,37,43,16,0,NA,0,29,29,5,27,6,0
